PIC 00c19e81 9
PIC 00c1df43 10
PIC 00c21e66 14
PIC 00c26604 12
PIC 00c2a29e 13
SEQ 900900
PIC 00c2dfc0 0
PIC 00c44cd3 2
PIC 00c4a473 1
PIC 00c4e2c3 5
PIC 00c52c96 3
PIC 00c569fc 4
PIC 00c5a71e 8
PIC 00c5ea67 6
PIC 00c623da 7
PIC 00c65d3d 11
PIC 00c69be3 9
PIC 00c6d2d1 10
PIC 00c70acb 14
PIC 00c7402e 12
PIC 00c77273 13
SEQ 900900
PIC 00c7a43b 0
PIC 00c8fb7e 2
PIC 00c93efc 1
PIC 00c972ab 5
PIC 00c9b15d 3
PIC 00c9e6a4 4
PIC 00ca1b71 8
PIC 00ca5cd6 6
PIC 00ca93eb 7
PIC 00cacbec 11
PIC 00cb1039 9
PIC 00cb483c 10
PIC 00cb8140 14
PIC 00cbc6c7 12
PIC 00cbfef7 13
SEQ 900900
PIC 00cc3810 0
PIC 00cda44e 2
PIC 00cdfe4a 1
PIC 00ce3d75 5
PIC 00ce8d45 3
PIC 00ceccd2 4
PIC 00cf0c5e 8
PIC 00cf5a47 6
PIC 00cf997d 7
PIC 00cfda26 11
PIC 00d026dc 9
PIC 00d06668 10
PIC 00d0a73e 14
PIC 00d0f712 12
PIC 00d1362c 13
SEQ 900900
PIC 00d1764b 0
PIC 00d2ea21 2
PIC 00d34ce6 1
PIC 00d393bd 5
PIC 00d3e9ba 3
PIC 00d42fc2 4
PIC 00d4760b 8
PIC 00d4c62a 6
PIC 00d50895 7
PIC 00d549e5 11
PIC 00d5955f 9
PIC 00d5d4c7 10
PIC 00d613a9 14
PIC 00d657b1 12
PIC 00d69234 13
SEQ 900900
PIC 00d6ccf1 0
PIC 00d82da1 2
PIC 00d87dc7 1
PIC 00d8b6e4 5
PIC 00d90009 3
PIC 00d93d9f 4
PIC 00d97b9c 8
PIC 00d9c6f7 6
PIC 00da06a2 7
PIC 00da464b 11
PIC 00da948b 9
PIC 00dad45e 10
PIC 00db1450 14
PIC 00db62cd 12
PIC 00dba41a 13
SEQ 900900
PIC 00dbe660 0
PIC 00dd5ba7 2
PIC 00ddbb23 1
PIC 00de0069 5
PIC 00de5234 3
PIC 00de9683 4
PIC 00dedb4f 8
PIC 00df27a3 6
PIC 00df6944 7
PIC 00dfab8c 11
PIC 00e09561 9
PIC 00e0e0fe 10
PIC 00e12b26 14
PIC 00e17d90 12
PIC 00e1c0dd 13
SEQ 900900
PIC 00e204b2 0
PIC 00e3886d 2
PIC 00e3e120 1
PIC 00e42089 5
PIC 00e46b7a 3
PIC 00e4aa3f 4
PIC 00e4e8c1 8
PIC 00e52d37 6
PIC 00e5676e 7
PIC 00e5a195 11
PIC 00e5e122 9
PIC 00e618f7 10
PIC 00e651d6 14
PIC 00e6888d 12
PIC 00e6bc1e 13
SEQ 900900
PIC 00e6ef35 0
PIC 00e85d22 2
PIC 00e8a1b3 1
PIC 00e8d67b 5
PIC 00e91648 3
PIC 00e94cf1 4
PIC 00e98320 8
PIC 00e9c5b2 6
PIC 00e9fd87 7
PIC 00ea364b 11
PIC 00ea7b7e 9
PIC 00eab466 10
PIC 00eaee51 14
PIC 00eb352b 12
PIC 00eb6ea5 13
SEQ 900900
PIC 00eba905 0
PIC 00ed2bee 2
PIC 00ed86fb 1
PIC 00edc73c 5
PIC 00ee1826 3
PIC 00ee5919 4
PIC 00ee9a07 8
PIC 00eee921 6
PIC 00ef291b 7
PIC 00ef6a88 11
PIC 00efb827 9
PIC 00eff897 10
PIC 00f03a51 14
PIC 00f08b7a 12
PIC 00f0cbe0 13
SEQ 900900
PIC 00f10d4a 0
PIC 00f297a3 2
PIC 00f2fb8b 1
PIC 00f3437e 5
PIC 00f39a97 3
PIC 00f3e1fc 4
PIC 00f4299c 8
PIC 00f47ae5 6
PIC 00f4be09 7
PIC 00f5001a 11
PIC 00f54c7b 9
PIC 00f58cc5 10
PIC 00f5cc87 14
PIC 00f611dd 12
PIC 00f64db4 13
SEQ 900900
PIC 00f689c7 0
PIC 00f8011f 2
PIC 00f8525d 1
PIC 00f88c92 5
PIC 00f8d6d1 3
PIC 00f915c5 4
PIC 00f95527 8
PIC 00f9a1b2 6
PIC 00f9e21f 7
PIC 00fa228e 11
PIC 00fa71b5 9
PIC 00fab26d 10
PIC 00faf344 14
PIC 00fb4317 12
PIC 00fb85aa 13
SEQ 900900
PIC 00fbc935 0
PIC 00fd5505 2
PIC 00fdb5a6 1
PIC 00fdfc05 5
PIC 00fe4eef 3
PIC 00fe94a7 4
PIC 00fedadd 8
PIC 00ff2867 6
PIC 00ff6ad9 7
PIC 00ffadf0 11
PIC 00fffab1 9
PIC 01003c68 10
PIC 01007c82 14
PIC 0100c580 12
PIC 01010362 13
SEQ 900900
PIC 010141cc 0
PIC 0102c587 2
PIC 01031e3a 1
PIC 01035da3 5
PIC 0103a894 3
PIC 0103e759 4
PIC 010425db 8
PIC 01046a51 6
PIC 0104a488 7
PIC 0104deaf 11
PIC 01051e3c 9
PIC 01055611 10
PIC 01058ef0 14
PIC 0105c5a7 12
